park_id,date,weekday,hour,occupacy_percentage
32,2017-09-05,Tue,23:30:00,0.0
32,2017-09-06,Wed,00:00:00,0.0
32,2017-09-06,Wed,00:30:00,0.0
32,2017-09-06,Wed,01:00:00,0.0
32,2017-09-06,Wed,01:30:00,0.0
32,2017-09-06,Wed,02:00:00,0.0
32,2017-09-06,Wed,02:30:00,0.0
32,2017-09-06,Wed,03:00:00,0.0
32,2017-09-06,Wed,03:30:00,0.0
32,2017-09-06,Wed,04:00:00,0.0
32,2017-09-06,Wed,04:30:00,0.0
32,2017-09-06,Wed,05:00:00,0.0
32,2017-09-06,Wed,05:30:00,0.0
32,2017-09-06,Wed,06:00:00,0.0
32,2017-09-06,Wed,06:30:00,0.0
32,2017-09-06,Wed,07:00:00,0.0
32,2017-09-06,Wed,07:30:00,23.1
32,2017-09-06,Wed,08:00:00,46.2
32,2017-09-06,Wed,08:30:00,46.2
32,2017-09-06,Wed,09:00:00,38.5
32,2017-09-06,Wed,09:30:00,53.8
32,2017-09-06,Wed,10:00:00,61.5
32,2017-09-06,Wed,10:30:00,61.5
32,2017-09-06,Wed,11:00:00,46.2
32,2017-09-06,Wed,11:30:00,38.5
32,2017-09-06,Wed,12:00:00,38.5
32,2017-09-06,Wed,12:30:00,30.8
32,2017-09-06,Wed,13:00:00,30.8
32,2017-09-06,Wed,13:30:00,15.4
32,2017-09-06,Wed,14:00:00,7.7
32,2017-09-06,Wed,14:30:00,7.7
32,2017-09-06,Wed,15:00:00,7.7
32,2017-09-06,Wed,15:30:00,7.7
32,2017-09-06,Wed,16:00:00,15.4
32,2017-09-06,Wed,16:30:00,15.4
32,2017-09-06,Wed,17:00:00,7.7
32,2017-09-06,Wed,17:30:00,7.7
32,2017-09-06,Wed,18:00:00,0.0
32,2017-09-06,Wed,18:30:00,0.0
32,2017-09-06,Wed,19:00:00,0.0
32,2017-09-06,Wed,19:30:00,0.0
32,2017-09-06,Wed,20:00:00,0.0
32,2017-09-06,Wed,20:30:00,0.0
32,2017-09-06,Wed,21:00:00,0.0
32,2017-09-06,Wed,21:30:00,0.0
32,2017-09-06,Wed,22:00:00,0.0
32,2017-09-06,Wed,22:30:00,0.0
32,2017-09-06,Wed,23:00:00,0.0
32,2017-09-06,Wed,23:30:00,0.0
32,2017-09-07,Thu,00:00:00,0.0
32,2017-09-07,Thu,00:30:00,0.0
32,2017-09-07,Thu,01:00:00,0.0
32,2017-09-07,Thu,01:30:00,0.0
32,2017-09-07,Thu,02:00:00,0.0
32,2017-09-07,Thu,02:30:00,0.0
32,2017-09-07,Thu,03:00:00,0.0
32,2017-09-07,Thu,03:30:00,0.0
32,2017-09-07,Thu,04:00:00,0.0
32,2017-09-07,Thu,04:30:00,0.0
32,2017-09-07,Thu,05:00:00,0.0
32,2017-09-07,Thu,05:30:00,0.0
32,2017-09-07,Thu,06:00:00,0.0
32,2017-09-07,Thu,06:30:00,0.0
32,2017-09-07,Thu,07:00:00,0.0
32,2017-09-07,Thu,07:30:00,7.7
32,2017-09-07,Thu,08:00:00,23.1
32,2017-09-07,Thu,08:30:00,23.1
32,2017-09-07,Thu,09:00:00,23.1
32,2017-09-07,Thu,09:30:00,23.1
32,2017-09-07,Thu,10:00:00,30.8
32,2017-09-07,Thu,10:30:00,15.4
32,2017-09-07,Thu,11:00:00,7.7
32,2017-09-07,Thu,11:30:00,7.7
32,2017-09-07,Thu,12:00:00,7.7
32,2017-09-07,Thu,12:30:00,7.7
32,2017-09-07,Thu,13:00:00,7.7
32,2017-09-07,Thu,13:30:00,0.0
32,2017-09-07,Thu,14:00:00,7.7
32,2017-09-07,Thu,14:30:00,7.7
32,2017-09-07,Thu,15:00:00,7.7
32,2017-09-07,Thu,15:30:00,23.1
32,2017-09-07,Thu,16:00:00,38.5
32,2017-09-07,Thu,16:30:00,38.5
32,2017-09-07,Thu,17:00:00,38.5
32,2017-09-07,Thu,17:30:00,38.5
32,2017-09-07,Thu,18:00:00,30.8
32,2017-09-07,Thu,18:30:00,23.1
32,2017-09-07,Thu,19:00:00,15.4
32,2017-09-07,Thu,19:30:00,15.4
32,2017-09-07,Thu,20:00:00,15.4
32,2017-09-07,Thu,20:30:00,15.4
32,2017-09-07,Thu,21:00:00,7.7
32,2017-09-07,Thu,21:30:00,0.0
32,2017-09-07,Thu,22:00:00,0.0
32,2017-09-07,Thu,22:30:00,0.0
32,2017-09-07,Thu,23:00:00,0.0
32,2017-09-07,Thu,23:30:00,0.0
32,2017-09-08,Fri,00:00:00,0.0
32,2017-09-08,Fri,00:30:00,0.0
32,2017-09-08,Fri,01:00:00,0.0
32,2017-09-08,Fri,01:30:00,0.0
32,2017-09-08,Fri,02:00:00,0.0
32,2017-09-08,Fri,02:30:00,0.0
32,2017-09-08,Fri,03:00:00,0.0
32,2017-09-08,Fri,03:30:00,0.0
32,2017-09-08,Fri,04:00:00,0.0
32,2017-09-08,Fri,04:30:00,0.0
32,2017-09-08,Fri,05:00:00,0.0
32,2017-09-08,Fri,05:30:00,0.0
32,2017-09-08,Fri,06:00:00,0.0
32,2017-09-08,Fri,06:30:00,0.0
32,2017-09-08,Fri,07:00:00,0.0
32,2017-09-08,Fri,07:30:00,0.0
32,2017-09-08,Fri,08:00:00,15.4
32,2017-09-08,Fri,08:30:00,15.4
32,2017-09-08,Fri,09:00:00,15.4
32,2017-09-08,Fri,09:30:00,38.5
32,2017-09-08,Fri,10:00:00,61.5
32,2017-09-08,Fri,10:30:00,61.5
32,2017-09-08,Fri,11:00:00,61.5
32,2017-09-08,Fri,11:30:00,61.5
32,2017-09-08,Fri,12:00:00,46.2
32,2017-09-08,Fri,12:30:00,46.2
32,2017-09-08,Fri,13:00:00,46.2
32,2017-09-08,Fri,13:30:00,46.2
32,2017-09-08,Fri,14:00:00,46.2
32,2017-09-08,Fri,14:30:00,38.5
32,2017-09-08,Fri,15:00:00,30.8
32,2017-09-08,Fri,15:30:00,0.0
32,2017-09-08,Fri,16:00:00,0.0
32,2017-09-08,Fri,16:30:00,0.0
32,2017-09-08,Fri,17:00:00,0.0
32,2017-09-08,Fri,17:30:00,7.7
32,2017-09-08,Fri,18:00:00,7.7
32,2017-09-08,Fri,18:30:00,7.7
32,2017-09-08,Fri,19:00:00,7.7
32,2017-09-08,Fri,19:30:00,7.7
32,2017-09-08,Fri,20:00:00,7.7
32,2017-09-08,Fri,20:30:00,7.7
32,2017-09-08,Fri,21:00:00,7.7
32,2017-09-08,Fri,21:30:00,7.7
32,2017-09-08,Fri,22:00:00,7.7
32,2017-09-08,Fri,22:30:00,7.7
32,2017-09-08,Fri,23:00:00,7.7
32,2017-09-08,Fri,23:30:00,0.0
32,2017-09-09,Sat,00:00:00,0.0
32,2017-09-09,Sat,00:30:00,0.0
32,2017-09-09,Sat,01:00:00,0.0
32,2017-09-09,Sat,01:30:00,0.0
32,2017-09-09,Sat,02:00:00,0.0
32,2017-09-09,Sat,02:30:00,0.0
32,2017-09-09,Sat,03:00:00,0.0
32,2017-09-09,Sat,03:30:00,0.0
32,2017-09-09,Sat,04:00:00,0.0
32,2017-09-09,Sat,04:30:00,0.0
32,2017-09-09,Sat,05:00:00,0.0
32,2017-09-09,Sat,05:30:00,0.0
32,2017-09-09,Sat,06:00:00,0.0
32,2017-09-09,Sat,06:30:00,0.0
32,2017-09-09,Sat,07:00:00,0.0
32,2017-09-09,Sat,07:30:00,0.0
32,2017-09-09,Sat,08:00:00,0.0
32,2017-09-09,Sat,08:30:00,0.0
32,2017-09-09,Sat,09:00:00,0.0
32,2017-09-09,Sat,09:30:00,0.0
32,2017-09-09,Sat,10:00:00,0.0
32,2017-09-09,Sat,10:30:00,0.0
32,2017-09-09,Sat,11:00:00,0.0
32,2017-09-09,Sat,11:30:00,0.0
32,2017-09-09,Sat,12:00:00,0.0
32,2017-09-09,Sat,12:30:00,0.0
32,2017-09-09,Sat,13:00:00,0.0
32,2017-09-09,Sat,13:30:00,0.0
32,2017-09-09,Sat,14:00:00,0.0
32,2017-09-09,Sat,14:30:00,0.0
32,2017-09-09,Sat,15:00:00,0.0
32,2017-09-09,Sat,15:30:00,0.0
32,2017-09-09,Sat,16:00:00,0.0
32,2017-09-09,Sat,16:30:00,0.0
32,2017-09-09,Sat,17:00:00,0.0
32,2017-09-09,Sat,17:30:00,0.0
32,2017-09-09,Sat,18:00:00,0.0
32,2017-09-09,Sat,18:30:00,0.0
32,2017-09-09,Sat,19:00:00,0.0
32,2017-09-09,Sat,19:30:00,0.0
32,2017-09-09,Sat,20:00:00,0.0
32,2017-09-09,Sat,20:30:00,0.0
32,2017-09-09,Sat,21:00:00,0.0
32,2017-09-09,Sat,21:30:00,0.0
32,2017-09-09,Sat,22:00:00,0.0
32,2017-09-09,Sat,22:30:00,0.0
32,2017-09-09,Sat,23:00:00,0.0
32,2017-09-09,Sat,23:30:00,0.0
32,2017-09-10,Sun,00:00:00,0.0
32,2017-09-10,Sun,00:30:00,0.0
32,2017-09-10,Sun,01:00:00,0.0
32,2017-09-10,Sun,01:30:00,0.0
32,2017-09-10,Sun,02:00:00,0.0
32,2017-09-10,Sun,02:30:00,0.0
32,2017-09-10,Sun,03:00:00,0.0
32,2017-09-10,Sun,03:30:00,0.0
32,2017-09-10,Sun,04:00:00,0.0
32,2017-09-10,Sun,04:30:00,0.0
32,2017-09-10,Sun,05:00:00,0.0
32,2017-09-10,Sun,05:30:00,0.0
32,2017-09-10,Sun,06:00:00,0.0
32,2017-09-10,Sun,06:30:00,0.0
32,2017-09-10,Sun,07:00:00,0.0
32,2017-09-10,Sun,07:30:00,0.0
32,2017-09-10,Sun,08:00:00,0.0
32,2017-09-10,Sun,08:30:00,0.0
32,2017-09-10,Sun,09:00:00,0.0
32,2017-09-10,Sun,09:30:00,0.0
32,2017-09-10,Sun,10:00:00,0.0
32,2017-09-10,Sun,10:30:00,0.0
32,2017-09-10,Sun,11:00:00,0.0
32,2017-09-10,Sun,11:30:00,0.0
32,2017-09-10,Sun,12:00:00,0.0
32,2017-09-10,Sun,12:30:00,0.0
32,2017-09-10,Sun,13:00:00,0.0
32,2017-09-10,Sun,13:30:00,0.0
32,2017-09-10,Sun,14:00:00,0.0
